year,single_r,single_bs,hoh_r,hoh_bs,mfj_r,mfj_bs,mfs_r,mfs_bs
2018,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2018,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2018,0.1075,5000000.0,0.0897,500000,0.0897,500000,0.1075,5000000.0
2018,,,0.1075,5000000,0.1075,5000000,,
2019,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2019,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2019,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2019,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2019,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2019,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2019,0.1075,5000000.0,0.0897,500000,0.0897,500000,0.1075,5000000.0
2019,,,0.1075,5000000,0.1075,5000000,,
2020,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2020,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2020,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2020,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2020,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2020,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2020,0.1075,1000000.0,0.0897,500000,0.0897,500000,0.1075,1000000.0
2020,,,0.1075,1000000,0.1075,1000000,,
2021,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2021,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2021,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2021,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2021,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2021,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2021,0.1075,1000000.0,0.0897,500000,0.0897,500000,0.1075,1000000.0
2021,,,0.1075,1000000,0.1075,1000000,,
2022,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2022,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2022,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2022,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2022,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2022,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2022,0.1075,1000000.0,0.0897,500000,0.0897,500000,0.1075,1000000.0
2022,,,0.1075,1000000,0.1075,1000000,,
2023,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2023,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2023,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2023,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2023,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2023,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2023,0.1075,1000000.0,0.0897,500000,0.0897,500000,0.1075,1000000.0
2023,,,0.1075,1000000,0.1075,1000000,,
2024,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2024,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2024,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2024,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2024,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2024,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2024,0.1075,1000000.0,0.0897,500000,0.0897,500000,0.1075,1000000.0
2024,,,0.1075,1000000,0.1075,1000000,,
2025,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2025,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2025,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2025,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2025,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2025,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2025,0.1075,1000000.0,0.0897,500000,0.0897,500000,0.1075,1000000.0
2025,,,0.1075,1000000,0.1075,1000000,,
2026,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2026,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2026,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2026,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2026,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2026,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2026,0.1075,1000000.0,0.0897,500000,0.0897,500000,0.1075,1000000.0
2026,,,0.1075,1000000,0.1075,1000000,,
